scaffold_number	gene_id	rna_id	rna_type	rna_start	rna_end	intron_start	intron_end	+/-
DS571165	EHI_199065	EHI_199065A	mRNA	104448	106680	104867	104923	+
DS571199	EHI_008690	EHI_008690A	mRNA	48407	49746	48729	48892	+
DS571297	EHI_142710	EHI_142710A	mRNA	7404	8406	8107	8155	-
DS571447	EHI_172620	EHI_172620A	mRNA	11718	13771	12713	12846	-
DS571208	EHI_030880	EHI_030880A	mRNA	53754	54735	54128	54185	+
DS571356	EHI_185610	EHI_185610A	mRNA	22284	22961	22443	22493	-
DS571339	EHI_020230	EHI_020230A	mRNA	5777	8967	8841	8899	+
DS571182	EHI_010550	EHI_010550A	mRNA	37504	39151	37821	37866	+
DS571691	EHI_154440	EHI_154440A	mRNA	3109	4887	3445	3516	+
DS571691	EHI_154440	EHI_154440A	mRNA	3109	4887	3727	3915	+
DS571691	EHI_154440	EHI_154440A	mRNA	3109	4887	4420	4470	+
DS571145	EHI_152150	EHI_152150A	mRNA	220350	220913	220421	220471	-
DS571173	EHI_087910	EHI_087910A	mRNA	102604	103301	102689	102740	+
DS571173	EHI_087910	EHI_087910A	mRNA	102604	103301	103204	103273	+
DS571227	EHI_005920	EHI_005920A	mRNA	16220	16803	16516	16571	-
DS571174	EHI_035490	EHI_035490A	mRNA	25437	27119	26377	26448	-
DS571346	EHI_108700	EHI_108700A	mRNA	13110	15560	13488	13547	+
DS571257	EHI_156290	EHI_156290A	mRNA	14630	15002	14864	14927	-
DS571370	EHI_053460	EHI_053460A	mRNA	6998	9624	7525	7603	+
DS571370	EHI_053460	EHI_053460A	mRNA	6998	9624	9063	9123	+
DS571272	EHI_178000	EHI_178000A	mRNA	14517	15168	14631	14688	+
DS571173	EHI_087820	EHI_087820A	mRNA	82343	84266	83268	83317	-
DS571173	EHI_087820	EHI_087820A	mRNA	82343	84266	84087	84145	-
DS571508	EHI_144600	EHI_144600A	mRNA	4870	5677	4927	5073	+
DS571508	EHI_144600	EHI_144600A	mRNA	4870	5677	5218	5275	+
DS571436	EHI_184250	EHI_184250A	mRNA	10748	12252	10877	10945	-
DS571436	EHI_184250	EHI_184250A	mRNA	10748	12252	11055	11363	-
DS571436	EHI_184250	EHI_184250A	mRNA	10748	12252	11691	11740	-
DS571436	EHI_184250	EHI_184250A	mRNA	10748	12252	12163	12222	-
DS571194	EHI_021340	EHI_021340A	mRNA	36540	37891	36741	36784	+
DS571373	EHI_181610	EHI_181610A	mRNA	25611	26061	25751	25793	+
DS571206	EHI_188010	EHI_188010A	mRNA	9877	10526	10081	10138	+
DS571206	EHI_188010	EHI_188010A	mRNA	9877	10526	10334	10391	+
DS571323	EHI_007140	EHI_007140A	mRNA	285	772	307	359	-
DS571184	EHI_009630	EHI_009630A	mRNA	72672	75856	75660	75715	-
DS571213	EHI_062510	EHI_062510A	mRNA	13876	15035	13900	13944	+
DS571213	EHI_062510	EHI_062510A	mRNA	13876	15035	14737	14798	+
DS571398	EHI_146350	EHI_146350A	mRNA	13646	15414	13705	13859	+
DS571163	EHI_096250	EHI_096250A	mRNA	15124	17086	16815	16908	-
DS571282	EHI_040590	EHI_040590A	mRNA	12157	12876	12682	12729	-
DS571227	EHI_005960	EHI_005960A	mRNA	23312	23794	23488	23550	-
DS571151	EHI_110130	EHI_110130A	mRNA	2859	5774	5633	5716	+
DS571397	EHI_003920	EHI_003920A	mRNA	11874	14035	13647	13702	+
DS571155	EHI_092730	EHI_092730A	mRNA	153308	154022	153319	153358	+
DS571155	EHI_092730	EHI_092730A	mRNA	153308	154022	153499	153621	+
DS571517	EHI_002350	EHI_002350A	mRNA	1025	3303	2265	2339	-
DS571517	EHI_002350	EHI_002350A	mRNA	1025	3303	2784	2851	-
DS571517	EHI_002350	EHI_002350A	mRNA	1025	3303	3052	3186	-
DS571180	EHI_118600	EHI_118600A	mRNA	23587	25175	23700	23755	-
DS571275	EHI_081270	EHI_081270A	mRNA	12671	13294	12722	12771	+
DS571275	EHI_081270	EHI_081270A	mRNA	12671	13294	13051	13108	+
DS571173	EHI_087720	EHI_087720A	mRNA	60610	61403	61166	61339	-
DS571418	EHI_196365	EHI_196365A	mRNA	3625	4813	4663	4708	-
DS571349	EHI_098760	EHI_098760A	mRNA	5629	9223	8204	8270	-
DS571349	EHI_098760	EHI_098760A	mRNA	5629	9223	8864	8921	-
DS571349	EHI_098760	EHI_098760A	mRNA	5629	9223	9120	9169	-
DS571425	EHI_108490	EHI_108490A	mRNA	16891	18058	17908	17956	-
DS571147	EHI_044910	EHI_044910A	mRNA	63752	64218	63934	63986	-
DS571183	EHI_117910	EHI_117910A	mRNA	21542	22791	22329	22390	-
DS571385	EHI_121500	EHI_121500A	mRNA	16347	21041	16363	16428	+
DS571200	EHI_010140	EHI_010140A	mRNA	63596	64774	63881	63940	-
DS571417	EHI_071320	EHI_071320A	mRNA	12487	13423	12672	12720	+
DS571232	EHI_074170	EHI_074170A	mRNA	48896	50590	49232	49294	+
DS571240	EHI_017740	EHI_017740A	mRNA	41375	42187	41599	41648	+
DS571240	EHI_017740	EHI_017740A	mRNA	41375	42187	41809	41859	+
DS571240	EHI_017740	EHI_017740A	mRNA	41375	42187	41986	42043	+
DS571161	EHI_141850	EHI_141850A	mRNA	45935	51805	51007	51057	-
DS571164	EHI_069630	EHI_069630A	mRNA	127254	127956	127291	127348	+
DS571273	EHI_111600	EHI_111600A	mRNA	16701	17045	16810	16878	+
DS571345	EHI_002170	EHI_002170A	mRNA	15803	16325	15847	15907	-
DS571163	EHI_096540	EHI_096540A	mRNA	64217	65282	65073	65139	+
DS571146	EHI_148940	EHI_148940A	mRNA	188412	190029	188686	188729	+
DS571146	EHI_148940	EHI_148940A	mRNA	188412	190029	189080	189138	+
DS571634	EHI_076380	EHI_076380A	mRNA	4381	6473	5376	5503	-
DS571250	EHI_195140	EHI_195140A	mRNA	47802	48349	48077	48138	+
DS571149	EHI_050910	EHI_050910A	mRNA	139148	140934	139266	139320	-
DS571149	EHI_050910	EHI_050910A	mRNA	139148	140934	139708	139756	-
DS571536	EHI_136610	EHI_136610A	mRNA	2629	4836	4337	4660	+
DS571240	EHI_017630	EHI_017630A	mRNA	20325	21554	21423	21470	-
DS571254	EHI_140230	EHI_140230A	mRNA	20611	22578	22218	22295	-
DS571170	EHI_131000	EHI_131000A	mRNA	56086	57043	56851	56908	+
DS571199	EHI_008400	EHI_008400A	mRNA	15457	16302	15867	15917	+
DS571237	EHI_175240	EHI_175240A	mRNA	11141	12190	12047	12100	+
DS571360	EHI_090270	EHI_090270A	mRNA	24964	25317	25198	25242	-
DS571554	EHI_146820	EHI_146820A	mRNA	10222	10839	10467	10523	+
DS571810	EHI_163960	EHI_163960A	mRNA	553	1105	782	926	-
DS571154	EHI_179090	EHI_179090A	mRNA	142886	151593	151412	151476	-
DS571147	EHI_045200	EHI_045200A	mRNA	109599	110172	109953	110001	+
DS571160	EHI_126300	EHI_126300A	mRNA	137349	138295	137658	137717	+
DS571222	EHI_136410	EHI_136410A	mRNA	36122	37164	36452	36501	-
DS571222	EHI_136410	EHI_136410A	mRNA	36122	37164	36748	36794	-
DS571253	EHI_030100	EHI_030100A	mRNA	6048	6409	6135	6178	+
DS571220	EHI_174100	EHI_174100A	mRNA	17309	19338	19055	19101	-
DS571145	EHI_152840	EHI_152840A	mRNA	332991	334100	333174	333217	-
DS571145	EHI_152840	EHI_152840A	mRNA	332991	334100	333368	333427	-
DS571145	EHI_152840	EHI_152840A	mRNA	332991	334100	333732	333778	-
DS571145	EHI_152840	EHI_152840A	mRNA	332991	334100	333951	333997	-
DS571645	EHI_104200	EHI_104200A	mRNA	403	1033	414	570	+
DS571293	EHI_117640	EHI_117640A	mRNA	19518	20898	20434	20497	-
DS571536	EHI_136720	EHI_136720A	mRNA	4564	5115	4577	4620	-
DS571536	EHI_136720	EHI_136720A	mRNA	4564	5115	5051	5099	-
DS571291	EHI_179870	EHI_179870A	mRNA	12181	12747	12614	12685	+
DS571208	EHI_030720	EHI_030720A	mRNA	5151	6537	5402	5453	-
DS571145	EHI_151830	EHI_151830A	mRNA	155401	160229	155422	155483	+
DS571145	EHI_151830	EHI_151830A	mRNA	155401	160229	155698	155763	+
DS571414	EHI_080740	EHI_080740A	mRNA	11690	15809	15673	15721	-
DS571214	EHI_164340	EHI_164340A	mRNA	25723	26669	26235	26295	-
DS571214	EHI_164340	EHI_164340A	mRNA	25723	26669	26354	26445	-
DS571214	EHI_164340	EHI_164340A	mRNA	25723	26669	26503	26564	-
DS571150	EHI_068350	EHI_068350A	mRNA	103952	106296	104317	104363	+
DS571260	EHI_139040	EHI_139040A	mRNA	38417	39956	38727	38787	+
DS571466	EHI_080910	EHI_080910A	mRNA	15833	16382	16202	16352	+
DS571250	EHI_195030	EHI_195030A	mRNA	26763	28060	27124	27356	-
DS571294	EHI_081630	EHI_081630A	mRNA	4447	5186	4507	4646	+
DS571200	EHI_010040	EHI_010040A	mRNA	47519	48404	47836	47899	+
DS571281	EHI_122810	EHI_122810A	mRNA	19460	21596	19544	19607	-
DS571790	EHI_182150	EHI_182150A	mRNA	746	1979	1697	1748	-
DS571146	EHI_148230	EHI_148230A	mRNA	38488	38854	38491	38553	+
DS571253	EHI_030460	EHI_030460A	mRNA	40284	40890	40554	40614	+
DS571332	EHI_200200	EHI_200200A	mRNA	25671	26244	25695	25749	-
DS571284	EHI_070690	EHI_070690A	mRNA	14708	16390	14889	14935	-
DS571284	EHI_070690	EHI_070690A	mRNA	14708	16390	15614	15658	-
DS571284	EHI_070690	EHI_070690A	mRNA	14708	16390	15787	15839	-
DS571284	EHI_070690	EHI_070690A	mRNA	14708	16390	16110	16161	-
DS571284	EHI_070690	EHI_070690A	mRNA	14708	16390	16207	16261	-
DS571241	EHI_138430	EHI_138430A	mRNA	31711	33653	32365	32420	+
DS571165	EHI_199050	EHI_199050A	mRNA	102498	103646	102871	102919	-
DS571165	EHI_199050	EHI_199050A	mRNA	102498	103646	103329	103393	-
DS571172	EHI_014060	EHI_014060A	mRNA	46334	47106	46442	46498	+
DS571172	EHI_014060	EHI_014060A	mRNA	46334	47106	46659	46783	+
DS571263	EHI_168210	EHI_168210A	mRNA	7689	9503	9171	9230	-
DS571147	EHI_044630	EHI_044630A	mRNA	24599	24849	24644	24690	+
DS571553	EHI_089420	EHI_089420A	mRNA	1893	3385	2601	2635	+
DS572459	EHI_061240	EHI_061240A	mRNA	16	806	20	147	+
DS571600	EHI_000130	EHI_000130A	mRNA	7793	8309	8119	8182	-
DS571148	EHI_012390	EHI_012390A	mRNA	127185	127706	127527	127571	-
DS571159	EHI_186810	EHI_186810A	mRNA	45274	46584	45849	45895	+
DS571159	EHI_186810	EHI_186810A	mRNA	45274	46584	46192	46273	+
DS571356	EHI_185590	EHI_185590A	mRNA	16866	19971	16972	17018	+
DS571356	EHI_185590	EHI_185590A	mRNA	16866	19971	17243	17319	+
DS571181	EHI_004210	EHI_004210A	mRNA	11246	12875	11929	12070	+
DS571149	EHI_050360	EHI_050360A	mRNA	26084	28503	28112	28355	-
DS571336	EHI_120750	EHI_120750A	mRNA	1282	1634	1396	1439	+
DS571145	EHI_152930	EHI_152930A	mRNA	347755	348929	348095	348156	-
DS571145	EHI_152930	EHI_152930A	mRNA	347755	348929	348286	348345	-
DS571685	EHI_116720	EHI_116720A	mRNA	1358	2123	1800	1889	-
DS571152	EHI_049410	EHI_049410A	mRNA	27650	29282	29098	29161	-
DS571166	EHI_127230	EHI_127230A	mRNA	67533	68494	67716	67774	+
DS571166	EHI_127230	EHI_127230A	mRNA	67533	68494	68287	68328	+
DS571160	EHI_125920	EHI_125920A	mRNA	69316	70129	69454	69500	+
DS571189	EHI_174540	EHI_174540A	mRNA	5797	9946	9000	9177	-
DS571291	EHI_179840	EHI_179840A	mRNA	7988	10059	9911	9969	-
DS571557	EHI_072850	EHI_072850A	mRNA	9016	9802	9265	9559	+
DS571198	EHI_024360	EHI_024360A	mRNA	8726	9227	8822	8870	-
DS571579	EHI_197980	EHI_197980A	mRNA	1290	1913	1794	1850	-
DS571256	EHI_048230	EHI_048230A	mRNA	25102	31177	30372	30425	-
DS571256	EHI_048230	EHI_048230A	mRNA	25102	31177	31075	31126	-
DS571298	EHI_145450	EHI_145450A	mRNA	17331	18234	17723	17756	-
DS571298	EHI_145450	EHI_145450A	mRNA	17331	18234	17881	17925	-
DS571206	EHI_188250	EHI_188250A	mRNA	57663	58395	57972	58029	-
DS571166	EHI_127420	EHI_127420A	mRNA	102469	104883	102760	102804	+
DS571166	EHI_127420	EHI_127420A	mRNA	102469	104883	103058	103110	+
DS571166	EHI_127420	EHI_127420A	mRNA	102469	104883	104703	104769	+
DS571163	EHI_096210	EHI_096210A	mRNA	10624	11265	11084	11140	+
DS571323	EHI_007320	EHI_007320A	mRNA	17176	20112	17264	17320	+
DS571197	EHI_006530	EHI_006530A	mRNA	42	565	60	112	+
DS571243	EHI_140680	EHI_140680A	mRNA	34477	36508	36310	36368	+
DS571156	EHI_183140	EHI_183140A	mRNA	110284	111387	110368	110415	+
DS571167	EHI_159890	EHI_159890A	mRNA	107218	110199	109006	109065	+
DS571202	EHI_015350	EHI_015350A	mRNA	35955	36630	36139	36223	+
DS571293	EHI_117630	EHI_117630A	mRNA	18284	19404	18452	18535	-
DS571293	EHI_117630	EHI_117630A	mRNA	18284	19404	18845	18900	-
DS571395	EHI_074500	EHI_074500A	mRNA	7650	8237	7813	8058	+
DS571195	EHI_005070	EHI_005070A	mRNA	59648	60302	60000	60057	-
DS571195	EHI_005070	EHI_005070A	mRNA	59648	60302	60216	60278	-
DS571279	EHI_110970	EHI_110970A	mRNA	3237	3879	3649	3694	+
DS571177	EHI_167030	EHI_167030A	mRNA	64760	66281	64865	64938	+
DS571177	EHI_167030	EHI_167030A	mRNA	64760	66281	65063	65112	+
DS571154	EHI_178720	EHI_178720A	mRNA	70030	76481	71173	71624	+
DS571507	EHI_049050	EHI_049050A	mRNA	8996	9532	9145	9234	+
DS571340	EHI_029610	EHI_029610A	mRNA	24755	25353	25182	25204	-
DS571147	EHI_045140	EHI_045140A	mRNA	100702	101343	100822	100872	+
DS571187	EHI_137750	EHI_137750A	mRNA	25786	26525	26312	26367	+
EH4254	EHI_201830	EHI_201830A	mRNA	1835	2761	2179	2235	+
DS571430	EHI_129370	EHI_129370A	mRNA	18007	18444	18322	18381	-
DS571190	EHI_039050	EHI_039050A	mRNA	77269	78299	77956	78005	-
DS571389	EHI_140010	EHI_140010A	mRNA	19558	20231	19668	19738	+
DS571365	EHI_197820	EHI_197820A	mRNA	10255	11787	10366	10431	-
DS571145	EHI_151900	EHI_151900A	mRNA	168514	170762	168868	168913	-
DS571145	EHI_151900	EHI_151900A	mRNA	168514	170762	169204	169249	-
DS571304	EHI_161930	EHI_161930A	mRNA	21700	22614	21859	21918	+
DS571221	EHI_180380	EHI_180380A	mRNA	33679	35359	34416	34605	+
DS571156	EHI_182530	EHI_182530A	mRNA	14749	15186	14969	15019	-
DS571145	EHI_153080	EHI_153080A	mRNA	382939	383513	382950	383032	+
DS571256	EHI_048250	EHI_048250A	mRNA	34679	35398	34937	35002	-
DS571256	EHI_048250	EHI_048250A	mRNA	34679	35398	35311	35358	-
DS571172	EHI_013890	EHI_013890A	mRNA	7821	8701	7833	7889	+
DS571256	EHI_048160	EHI_048160A	mRNA	13357	16728	16050	16094	-
DS571292	EHI_042960	EHI_042960A	mRNA	20068	21842	20241	20299	-
DS571292	EHI_042960	EHI_042960A	mRNA	20068	21842	21086	21130	-
DS571292	EHI_042960	EHI_042960A	mRNA	20068	21842	21320	21382	-
DS571292	EHI_042960	EHI_042960A	mRNA	20068	21842	21488	21524	-
DS571292	EHI_042960	EHI_042960A	mRNA	20068	21842	21624	21673	-
DS571265	EHI_193470	EHI_193470A	mRNA	35126	35485	35315	35392	-
DS571579	EHI_198000	EHI_198000A	mRNA	4386	5089	4788	4846	-
DS571370	EHI_053610	EHI_053610A	mRNA	21422	22528	21532	21579	+
DS571299	EHI_099800	EHI_099800A	mRNA	25931	27447	26269	26330	+
DS572631	EHI_017150	EHI_017150A	mRNA	50	843	68	144	-
DS571147	EHI_044610	EHI_044610A	mRNA	21669	22438	21888	21936	+
DS571163	EHI_096760	EHI_096760A	mRNA	112957	114371	114131	114171	-
DS571163	EHI_096760	EHI_096760A	mRNA	112957	114371	114236	114292	-
DS571186	EHI_000240	EHI_000240A	mRNA	1555	2669	1658	1716	+
DS571170	EHI_130950	EHI_130950A	mRNA	44278	45144	44410	44456	+
DS571170	EHI_130950	EHI_130950A	mRNA	44278	45144	44676	44727	+
DS571424	EHI_190450	EHI_190450A	mRNA	12419	12779	12511	12568	+
DS571152	EHI_049970	EHI_049970A	mRNA	152540	153519	152631	152740	+
DS571443	EHI_180820	EHI_180820A	mRNA	9397	10699	9404	9723	+
DS571443	EHI_180820	EHI_180820A	mRNA	9397	10699	10272	10449	+
DS571443	EHI_180820	EHI_180820A	mRNA	9397	10699	10615	10675	+
DS571145	EHI_151840	EHI_151840A	mRNA	160354	162062	161214	161379	-
DS571145	EHI_151840	EHI_151840A	mRNA	160354	162062	161734	161815	-
DS571270	EHI_127810	EHI_127810A	mRNA	1643	2237	1923	1968	-
DS571277	EHI_132000	EHI_132000A	mRNA	31036	34995	34659	34706	-
DS571145	EHI_152760	EHI_152760A	mRNA	320985	321930	321329	321404	+
DS571461	EHI_091720	EHI_091720A	mRNA	9442	11175	9832	9975	-
DS572240	EHI_106800	EHI_106800A	mRNA	84	489	134	221	-
DS571244	EHI_146200	EHI_146200A	mRNA	45045	45820	45365	45480	+
DS571207	EHI_169840	EHI_169840A	mRNA	11938	12478	12189	12234	-
DS571207	EHI_169840	EHI_169840A	mRNA	11938	12478	12283	12330	-
DS571406	EHI_107900	EHI_107900A	mRNA	13480	14095	13704	13839	+
DS571146	EHI_148570	EHI_148570A	mRNA	107025	108835	108722	108768	-
DS571203	EHI_135070	EHI_135070A	mRNA	32648	33989	33216	33269	-
DS571203	EHI_135070	EHI_135070A	mRNA	32648	33989	33503	33578	-
DS571203	EHI_135070	EHI_135070A	mRNA	32648	33989	33711	33782	-
DS571318	EHI_083390	EHI_083390A	mRNA	16010	16852	16457	16517	-
DS571318	EHI_083390	EHI_083390A	mRNA	16010	16852	16605	16666	-
DS571165	EHI_198560	EHI_198560A	mRNA	2088	3161	2388	2441	+
DS571165	EHI_198560	EHI_198560A	mRNA	2088	3161	2852	2896	+
DS571885	EHI_157780	EHI_157780A	mRNA	1610	2132	1654	1714	-
DS571181	EHI_004500	EHI_004500A	mRNA	57483	60412	58475	58788	-
DS571845	EHI_086990	EHI_086990A	mRNA	340	1322	526	569	+
DS571599	EHI_195270	EHI_195270A	mRNA	7152	8024	7181	7486	+
DS571155	EHI_092290	EHI_092290A	mRNA	54788	58592	54800	54908	+
DS571188	EHI_124520	EHI_124520A	mRNA	57545	58268	58036	58138	-
DS571146	EHI_148170	EHI_148170A	mRNA	28184	29669	28771	28828	-
DS571146	EHI_148170	EHI_148170A	mRNA	28184	29669	29234	29283	-
DS571146	EHI_148170	EHI_148170A	mRNA	28184	29669	29447	29501	-
DS571602	EHI_031630	EHI_031630A	mRNA	4677	6063	5303	5474	+
DS571263	EHI_168300	EHI_168300A	mRNA	22340	22859	22505	22550	+
DS571228	EHI_160870	EHI_160870A	mRNA	16377	18696	16800	16944	+
DS571418	EHI_196390	EHI_196390A	mRNA	9853	11281	10953	11004	-
DS571471	EHI_172130	EHI_172130A	mRNA	1121	2084	1999	2056	-
DS571435	EHI_125010	EHI_125010A	mRNA	4855	6238	5774	5795	-
DS571912	EHI_082800	EHI_082800A	mRNA	64	1462	575	629	+
DS571390	EHI_135720	EHI_135720A	mRNA	4854	6159	5979	6030	-
DS571165	EHI_198700	EHI_198700A	mRNA	29838	31046	30025	30111	-
DS571165	EHI_198600	EHI_198600A	mRNA	7831	9136	7966	8056	+
DS571218	EHI_150550	EHI_150550A	mRNA	60986	61881	61409	61518	+
DS571211	EHI_085010	EHI_085010A	mRNA	51489	52295	51740	51796	-
DS571337	EHI_079230	EHI_079230A	mRNA	14928	15633	15036	15080	+
DS571337	EHI_079230	EHI_079230A	mRNA	14928	15633	15362	15413	+
DS571206	EHI_188210	EHI_188210A	mRNA	49060	52271	51188	51246	-
DS571357	EHI_115360	EHI_115360A	mRNA	21851	22804	22295	22351	+
DS571300	EHI_172960	EHI_172960A	mRNA	7208	7815	7503	7554	-
DS571156	EHI_182830	EHI_182830A	mRNA	56724	58456	57366	57409	-
DS571149	EHI_050580	EHI_050580A	mRNA	65028	65809	65379	65740	-
DS571162	EHI_155690	EHI_155690A	mRNA	107833	109321	108637	108685	-
DS571330	EHI_023630	EHI_023630A	mRNA	16275	20404	19569	19627	-
DS571330	EHI_023630	EHI_023630A	mRNA	16275	20404	20057	20116	-
DS571422	EHI_135450	EHI_135450A	mRNA	6793	7556	6808	6885	+
DS571422	EHI_135450	EHI_135450A	mRNA	6793	7556	7183	7250	+
DS571242	EHI_109970	EHI_109970A	mRNA	38587	40473	38862	38939	+
DS571164	EHI_069140	EHI_069140A	mRNA	21501	22641	21616	21671	+
DS571164	EHI_069140	EHI_069140A	mRNA	21501	22641	21725	21784	+
DS571164	EHI_069140	EHI_069140A	mRNA	21501	22641	22269	22324	+
DS571472	EHI_119740	EHI_119740A	mRNA	4050	5782	5494	5537	+
DS571246	EHI_163570	EHI_163570A	mRNA	16637	17999	16787	16841	-
DS571246	EHI_163570	EHI_163570A	mRNA	16637	17999	17251	17310	-
DS571246	EHI_163570	EHI_163570A	mRNA	16637	17999	17537	17641	-
DS571154	EHI_178480	EHI_178480A	mRNA	20607	21376	20827	20962	-
DS571263	EHI_168260	EHI_168260A	mRNA	16754	19996	17099	17167	+
DS571261	EHI_031330	EHI_031330A	mRNA	32143	33419	33249	33310	+
DS572327	EHI_015010	EHI_015010A	mRNA	157	1105	1006	1069	+
DS571220	EHI_174110	EHI_174110A	mRNA	19494	20238	19866	19935	-
DS571327	EHI_035990	EHI_035990A	mRNA	25115	25687	25219	25302	+
DS571463	EHI_066760	EHI_066760A	mRNA	14940	15395	14950	15036	+
DS571305	EHI_171270	EHI_171270A	mRNA	6410	7524	6681	6734	-
DS571305	EHI_171270	EHI_171270A	mRNA	6410	7524	7085	7134	-
DS571507	EHI_048960	EHI_048960A	mRNA	26	621	32	69	-
DS571149	EHI_051020	EHI_051020A	mRNA	167026	168621	168458	168511	+
DS571150	EHI_068110	EHI_068110A	mRNA	64967	66605	65282	65330	-
DS571280	EHI_001920	EHI_001920A	mRNA	28077	29539	28506	28552	+
DS571156	EHI_183200	EHI_183200A	mRNA	124105	124426	124261	124372	-
DS571200	EHI_010080	EHI_010080A	mRNA	54483	55992	54538	54598	+
DS571287	EHI_137000	EHI_137000A	mRNA	12742	14059	12925	13099	+
DS571287	EHI_137000	EHI_137000A	mRNA	12742	14059	13244	13396	+
DS571347	EHI_052090	EHI_052090A	mRNA	10291	10664	10332	10381	-
DS571265	EHI_193400	EHI_193400A	mRNA	25304	26343	25571	25617	+
DS571189	EHI_174900	EHI_174900A	mRNA	34445	35253	34809	34864	-
DS571215	EHI_027650	EHI_027650A	mRNA	31312	32491	32122	32173	-
DS571209	EHI_192440	EHI_192440A	mRNA	19852	22102	21769	22021	-
DS571273	EHI_111730	EHI_111730A	mRNA	20016	20236	20163	20215	-
DS571156	EHI_182870	EHI_182870A	mRNA	61222	62761	62489	62540	-
DS571699	EHI_106700	EHI_106700A	mRNA	4843	5608	5284	5341	+
DS571151	EHI_110360	EHI_110360A	mRNA	51488	51905	51638	51695	+
DS571303	EHI_147460	EHI_147460A	mRNA	15384	18010	17586	17828	-
DS571303	EHI_147460	EHI_147460A	mRNA	15384	18010	17882	17943	-
DS571156	EHI_182600	EHI_182600A	mRNA	22306	23525	22436	22481	-
DS571198	EHI_024480	EHI_024480A	mRNA	27444	28267	27847	27893	+
DS571337	EHI_079070	EHI_079070A	mRNA	1358	5330	3632	3920	-
DS571150	EHI_068060	EHI_068060A	mRNA	56701	58417	56796	56854	-
DS571150	EHI_068060	EHI_068060A	mRNA	56701	58417	57580	57620	-
DS571173	EHI_087810	EHI_087810A	mRNA	81087	82230	81267	81321	-
DS571528	EHI_029350	EHI_029350A	mRNA	6040	6721	6613	6653	-
DS571221	EHI_180430	EHI_180430A	mRNA	54749	55450	54806	54865	+
DS571221	EHI_180430	EHI_180430A	mRNA	54749	55450	55010	55066	+
DS571431	EHI_179390	EHI_179390A	mRNA	15047	15434	15194	15248	-
DS571145	EHI_153270	EHI_153270A	mRNA	416930	418307	417120	417174	+
DS571145	EHI_153270	EHI_153270A	mRNA	416930	418307	417321	417374	+
DS571145	EHI_153270	EHI_153270A	mRNA	416930	418307	417792	417848	+
DS571262	EHI_189300	EHI_189300A	mRNA	6629	8130	7356	7453	+
DS571145	EHI_152890	EHI_152890A	mRNA	341635	342660	342264	342316	-
DS571145	EHI_152890	EHI_152890A	mRNA	341635	342660	342520	342610	-
DS571160	EHI_126270	EHI_126270A	mRNA	132870	134894	132972	133031	+
DS571146	EHI_148780	EHI_148780A	mRNA	154889	156764	155168	155225	+
DS571161	EHI_141840	EHI_141840A	mRNA	45229	45598	45235	45288	+
DS571161	EHI_141840	EHI_141840A	mRNA	45229	45598	45346	45430	+
DS571286	EHI_026420	EHI_026420A	mRNA	30559	31206	30838	30897	+
DS571254	EHI_140280	EHI_140280A	mRNA	27417	28305	27877	27928	-
DS571145	EHI_153120	EHI_153120A	mRNA	388933	390753	389184	389249	+
DS571176	EHI_051730	EHI_051730A	mRNA	33645	34873	34408	34454	+
DS571166	EHI_127120	EHI_127120A	mRNA	44374	45144	44897	44947	+
DS571291	EHI_179930	EHI_179930A	mRNA	24949	25679	25194	25252	+
DS571488	EHI_123240	EHI_123240A	mRNA	5816	6389	5963	6020	+
DS571522	EHI_085710	EHI_085710A	mRNA	5447	6143	6011	6116	+
DS571206	EHI_188080	EHI_188080A	mRNA	20151	21084	20230	20296	-
DS571224	EHI_040430	EHI_040430A	mRNA	47723	49267	47864	47920	+
DS571224	EHI_040430	EHI_040430A	mRNA	47723	49267	49046	49093	+
DS571203	EHI_135210	EHI_135210A	mRNA	56000	59221	56970	57203	+
DS571442	EHI_175940	EHI_175940A	mRNA	6268	7796	6359	6411	+
DS571146	EHI_148370	EHI_148370A	mRNA	64042	64935	64639	64683	-
DS571189	EHI_175070	EHI_175070A	mRNA	63298	63888	63568	63618	-
DS571263	EHI_168380	EHI_168380A	mRNA	33144	34022	33365	33433	+
DS571263	EHI_168380	EHI_168380A	mRNA	33144	34022	33499	33549	+
DS571880	EHI_060010	EHI_060010A	mRNA	709	3047	2967	3013	+
DS571317	EHI_192070	EHI_192070A	mRNA	17009	19642	19513	19581	-
DS571152	EHI_049660	EHI_049660A	mRNA	82683	83777	82866	82922	-
DS571220	EHI_174200	EHI_174200A	mRNA	38331	39943	38418	38470	+
DS571188	EHI_124360	EHI_124360A	mRNA	21692	22387	21916	21972	-
DS571164	EHI_069500	EHI_069500A	mRNA	104421	105364	104554	104612	+
DS571164	EHI_069500	EHI_069500A	mRNA	104421	105364	104732	104845	+
DS572454	EHI_124720	EHI_124720A	mRNA	47	367	247	309	-
DS571160	EHI_126030	EHI_126030A	mRNA	87112	88025	87271	87482	+
DS571347	EHI_052170	EHI_052170A	mRNA	18701	20724	20084	20145	-
DS571154	EHI_178740	EHI_178740A	mRNA	79242	79738	79510	79556	-
DS571158	EHI_103720	EHI_103720A	mRNA	103558	105203	103582	103650	+
DS571158	EHI_103720	EHI_103720A	mRNA	103558	105203	103902	104068	+
DS571145	EHI_153390	EHI_153390A	mRNA	436896	439043	437057	437122	+
